Title,Price,Rating,Reviews,Link
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB) - Silver","1,64,900",5.0 out of 5 stars,4,N/A
"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Midnight","88,990",4.7 out of 5 stars,6,N/A
"Acer Aspire Lite, AMD Ryzen 5-5625U, 16GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, Premium Metal Body, AL15-41, Thin and Light Laptop","34,490",4.0 out of 5 stars,"1,169",N/A
"4G, 2025(New, WiFi+4G) Android Based MediaTek MT8788 - (PrimeOS) 4G SIM Slot, Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C, USB, HDMI, MicroSD) (4GB/64GB eMMC Storage, Black)","12,990",4.5 out of 5 stars,438,N/A
"ASUS Vivobook Go 14, AMD Ryzen 3 7320U, 8GB RAM, 512GB SSD, FHD, 14""/35.56cm, Windows 11, Office 2021, Black, 1.38KG, E1404FA-NK325WS, 42WHr, Thin and Light Laptop","29,990",4.0 out of 5 stars,110,N/A
"HP 255 Notebook, AMD Athlon Silver 7120U,8GB DDR4, 256GB SSD, 15.6-inch(39.6cm),Anti-Glare, HD Laptop, Radeon Graphics, (Win 11, Silver,1.52kg) G10","22,950",N/A,50+ bought in past month,N/A
"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN","21,990",3.8 out of 5 stars,473,N/A
"Lenovo V14 G3, 12th Gen Intel Core i7-1255U Upto 4.70Ghz (16GB RAM/512GB SSD/Windows 11) 14.0"" FHD Display Thin and Light Laptop/Iron Grey /1.70 kg 1 Year Onsite Brand Warranty with MS Office","44,988",3.9 out of 5 stars,15,N/A
"Acer Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/16 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG","28,990",4.0 out of 5 stars,"1,169",N/A
"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey","60,990",4.6 out of 5 stars,"6,654",N/A
"Apple 2024 MacBook Pro Laptop with M4 Pro chip with 14‑core CPU and 20‑core GPU: Built for Apple Intelligence, (16.2″) Liquid Retina XDR Display, 48GB Unified Memory, 512GB SSD Storage; Silver","2,79,990",3.3 out of 5 stars,2,N/A
"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Silver","88,990",5.0 out of 5 stars,3,N/A
